English,Russian
ROV,подводный аппарат (ROV)
underwater robot,подводный аппарат
thruster,движитель
tether,кабель-трос
tether reel,катушка кабеля-троса
depth holding,удержание глубины
attitude mode,режим стабилизации положения
controller,пульт управления
remote controller,пульт управления
yaw,рыскание
pitch,тангаж
roll,крен
gimbal,подвес
firmware,прошивка
failsafe,аварийный режим
propeller,гребной винт
battery,аккумулятор
charging port,разъём зарядки
power button,кнопка питания
quick start guide,краткое руководство пользователя
warning,предупреждение
notice,примечание
